haiku,translation,injection
さくら咲き起居に目立つ部屋の塵,"'Sakura blossoms invading daily life, make untidyness of my room so obvious' or 'Сакура в цвету Встал и бросилась в глаза Пыль в моем доме'",pride in the orderly life
掌に掬へば色なき水や夏の海,'Summer sea - skoop the water - no character in it' or 'Ладонью зачерпну Цвета нет у этой воды! Летнее море',livelyness and individuality
秋風や模様のちがふ皿二つ,'Autumn wind - it is like two plates with different patterns' or 'Осенний ветер! На двух тарелках Разный узор',predictability
買初にかふや七味唐辛子,'First purchase of the year - seven spicy peppers mix' or 'Первым делом Что куплю я?! Смесь Ситими Из острых перцев',bland taste
三度啼きて聞こえずなりぬ鹿の聲,"'Three times sounded of, and no longer can be heared sound of the deer voice' or 'Три раза прозвучал И уж не слышен боле Оленя крик'",happiness from the nice quite nature
まぐはひのしづかなるあめ居とりまく,"'Embraces of love, when calmed down, we were wrapped by the rain silent whisper' or 'Объятия любви А после — тишина дождя Укутывает нас '",being wet in the rain
灰すてて白梅うるむ垣根かな,"'Threw away soot next to shrubby hedge, and it became like a blossoming plum' or 'Развеял золу У забора тускнеют Белой сливы цветы'",fertilising of fruit trees
紫陽花や昨日の誠今日の嘘,"'Hydrangia flowers - what was truth yesterday, today is lie' or 'Гортензии! Что правдой было вчера  Сегодня — ложь'",constancy
あやまると心に決めて出るトイレ,"'Leaving toilet with thoughts that have to apologize' or 'Понимаю, Что надо извиниться Выхожу из туалета'",ignorance of politeness
トイレまで追ってきた子が出ていく日,"'That day when a baby who used to chase you to the toilet, leaves the house' or 'Тот день, когда малыш, Бежавший за тобой до туалета, Уходит из дома '",living in a moment
こちら向け我も寂しき秋の暮,"'Look at me, Autumn dusk, I am also sad' or 'Повернись сюда! Мне ведь тоже одиноко Осенью в закат'",joy from attracted attention
瘤あるが故の親しさ一冬木,"'Because of your scars I felt intimacy with you, lonely barren winter tree' or 'Из-за этих наростов Я почувствовал близость с тобой — Одинокое зимнее дерево'",admiration of perfect forms
山中や菊はたをらぬ湯の匂い,"'Hot spring mood in the mountains: do not pick even flowers' or 'В горах, где онсен, Не сорву хризантему. О, этой воды аромат!'",merceless attitude
わが恋は人とる沼の花菖蒲,"'Iris flower you pick next to dangerous marsh, that is my love' or 'Моя любовь Она как ирис, что ты рвешь У топкого болота'",happy love
オメデタウレイコヘサクラホクジヤウス,"'Congratulations Raiko, looks like Sakura goes to you up North' or 'Мои поздравления! Рэйко, к тебе на Север уже Поднимается сакура'",wait for the end of winter
若くなる人の心や春の旅,'Soul of anyone becomes younger from Spring travels' or 'Помолодеет Чья угодно душа На дороге весны',inevitability of old age
子を囲み皆で力む初トイレ,"'Let us sit all around the baby and strain together, it is his first use of toilet' or 'Сядем рядом Тужимся вместе с мелким Первый раз в унитаз'",individual solitude
月に遠くおぼゆる藤の色香かな,'I still remember that beauty of wisteria in the moonlight' or 'Где-то там далеко Благоухают в свете луны Краски глициний!',enjoyment of the present moment
古庭に茶筌花さく椿かな,"'In old garden, tea whisks flower, that is camelia for you' or 'В старом саду На ветвях расцветают тясэны Ой, или камелии это?!'",details of tea ceremony
雲の峰いくつ崩れて月の山,"'Cloud crests, how many of you broke on the Mount of Moon?' or 'Гребни облаков И сколько ж их разбилось Об эту гору под луной'",excitement of symmetry of flat sky over flat plains
家族とは同じトイレを使うこと,"'Family is those who use the same toilet' or 'Что такое семья? Это те, кто с тобою сидит На одном унитазе'",spiritual bond between relatives
紙あるのかあさんそんな大声で,"'Give me paper, mother asks with a so loud voice' or 'Есть ли бумага? Маман вопрошает Так громко'",motherly love
うつくしや野分のあとのとうがらし,"'Beauty - fresh chilli peppers after a typhoon' or 'Ах, вы, красавцы! Сразу же после тайфуна Острые перцы'",destruction of nature elements
花守や白き頭を突き合はせ,"`Flower keepr, your white head blends with them` or 'Хранитель цветов! Убеленной своей головой Соперничаешь с ними'",distinction between himan and flowers
ケータイで愛を語っているトイレ,"'Sitting on a toilet, confessing love on the mobile phone' or 'По телефону Признаюсь в любви Из туалета'",need of sublime settings for sublime topics
釣鐘のなかの月日も柿の秋,'Persimons of Autumn - as ancient as voice of temple bell' or 'Сколько месяцев и дней Храмовый колокол отбил До этой осенней хурмы',eternity as a fleeting moment
冬苺雪明り遠く遠くあり,"'Winter strawberry reflects brightness of snow, far far away' or 'Клубника зимой Где-то там светится снег Далеко далеко'",tastes of Summer
三寒四温の候、皆様いかがお過ごしでしょうか？,"'3 cold then 4 warm days season, it is too much, hey guys, how do you handle this?' or 'Удается ли вам справляться с этим сезоном, когда после трех холодных дней идут четыре теплых?'",satisfaction from stable weather
むざんやな甲の下のきりぎりす,"'Pityful: under the armor, just a cricket' or 'Как же жаль! Под шлемом этим Лишь сверчок'",respect to nature
勇気こそ地の塩なれや梅真白,'Humility of flowering plum is what real bravery is' or 'Только смелым Стать солью земли суждено! Белоснежно сливы цветут',meak people are useless
稲妻にさとらぬ人の貴さよ,'Such a person who does not see enlightenment in a lightning is a rare noble one' or 'Увидев молнию Не испытать сатори — Дорогого стоит!',satori in lightning
淋しさに又銅鑼打つや鹿火屋守,"'In the boredom of solitude, wather of dangerous wildlife, hits the gong again and again' or 'Мало было тоски Служитель оленьей сторожки Снова в гонг ударяет!'",meaningful actions
物書きて扇引きさく名残哉,"'All I wrote, will tear in pieces - it is time for farewell' or 'Весь исписав, Свой веер отброшу. Время прощания!'",preservation of legacy
おもしろうてやがて悲しき鵜舟かな,"'Funny before it becomes sad - cormorant fishing' or 'Увлеченно смотрю, Но потом накрывает печаль Ловля рыбы с бакланом'",lukewarm feelings
ふみわけた情の道や山さくら,"'This path to mountain sakura, is how human feelings find the way to you' or 'Из жалости кто-то Тропу до тебя протоптал! Горная сакура'",undisturbed solitude of the sakura in an unpopulated area
白葱のひかりの棒をいま刻む,"'Bright white rod of leek, I mince now' or 'Весеннего лука Сияющий белый стебель Сейчас нашинкую'",boredom from cooking
梅雨眠し安らかな死を思ひつつ,"'Sleppy rain season, encorages thoughtabout peaceful death' or 'Сезон дождей Клонит ко сну и думам О тихой смерти'",will for life
欲るこころ手袋の指器に触るる,'My craving soul is such: I want to touch your body with hands in gloves' or 'Желанье сердца: Рукой в перчатке Коснуться тебя там',impartiality to sensual pleasures
生きねばや鳥とて雪を払ひ立つ,"'When you do not want to live, look at birds brushing off snow' or 'Надо все же жить! Даже птица снег стряхнув Воспаряет ввысь'",everything is useless and pointless
独り句の推敲をして遅き日を,"'Spent long slow Sunday polishing single sentence' or 'Spent a whole day polishing haiku, sunset is so late' or 'Над этим хайку Весь день прокорпел. Как поздно Солнце садится'",productive work fast
5階から隣家の庭の梅借りる,"'Living on 5th floor, I borrow plums from neighbour garden' or 'Живя на пятом этаже Беру из соседнего сада Я сливу напрокат '",respect to somebody else's private property
四日には寝てもや春の花心,"'You go to sleep after the New Year celebrations, and wake up with Spring in your ever-changing heart' or 'Четвертого числа Едва заснешь, а уж кипит весна В переменчивом сердце моём'",gloom of the winter
かれ枝に烏のとまりけり秋の暮,"'In the Autumn dusk, on a dead branch crow settled for a night' or 'В сухих ветвях Озябший ворон замер Осени закат'",joyous nature view
永き日やあくびうつして別れ行く,"'Lazy spring days - everybody yawning, parting the party' or 'Долгие дни! Друг за дружкой зевнув Расходимся восвояси'",excitement from gathering
牡丹散り白磁を割りしごとしづか,'White peony falling petals - white porcelain deluted by silence' or 'Опадает пион Будто белый разбился Фарфор — в тишине',loud noise
久しぶり父との会話「早く出て」,'Rare conversation with father: get out quickly' or 'Наконец-то Поговорили с отцом: Выходи скорее!',thoughtfull communication
涼しさや鐘をはなるるかねの声,'Sound of the bell robbs the bell from its coolness' or 'Прохлада! Покидает колокол Колокольный звон',lack of change
京にても京なつかしや ほととぎす,"'Being still in Kyoto, seeing Toad Lily, I already feel nostalgia to Kyoto' or 'Ещё в Киото Уже скучаю по Киото Ку-ку, кукушка'",anticipation of new places and experience
秋刀魚焼く匂の底へ日は落ちぬ,'Sun sets to the depth where aroma of the grilled pickled mackerel comes from' or 'На дно аромата От жареной сайры Солнце село',round Earth
あつあつの豆腐来にけりしぐれけり,"'Rainy Autumn outside, but here comes a hot tofu pot' or 'С пылу с жару Ставят тофу предо мной — И дождь заморосил'",starvation time
短夜の幽霊多き墓場かな,'Cemetery in the short summer nights - a lot of ghosts come out' or 'Коротка летняя ночь Много призраков бродит Среди могил',scepticism toward superstitious stories
仰き見る芭せをの上に蛙かな,'Respectfully look up the banana leaf Basho - there is a frog up there' or 'На куст банана С почтением смотрю — Ведь там лягушка!',jungle scene
柿くへば鐘が鳴るなり法隆寺,"'As bitten into persioman, bell of temple Houryuu sounds' or 'Откусил хурму Зазвонил колокол Храм Хорюдзи'",observation of unrelated events
七夕のあはぬこころや雨中天,'Two souls will not find each other on the Festival of Stars - skies are in the rainy clouds' or 'Праздник Танабата Но не встретиться двум сердцам! Все небо в дожде',happy love story
裸木の側にしばらく居てやりぬ,"'Next to the naked tree, finally made myself to stand for a while' or 'Дерево голое Постоял я рядом с тобой, Пусть и недолго'",longing for summer
春風やいろいろの香をそそのかし,"'Spring wind, you tease me with so many scents' or 'Ветер весною! Сколькими ароматами разными Ты завлекаешь меня'",enjoyment from crystal-pure air
トイレから出た目が赤い負け試合,'Came out from toilet with red eyes - my favorite team lost' or 'Из туалета вышла С красными глазами — Продула моя команда',perfect time for joy
あかあかと日はつれなくも秋の風,"'In the Autumn wind, also cold and indifferent red-red Sun' or 'Солнце красное Пусть нещадно оно, Ветер к осени'",comfortable weather
雪ふりや 棟の白猫声ばかり,'Snow falls and what is left from the white cat on the roof is just a voice' or 'Падает снег! От белого кота на крыше Остался только голос',clear vision
寂として客の絶え間のぼたん哉,"'Peony is calm, like an empty store between customers' or 'Замерло все До прихода гостей Ах, пионы!'",hassle of busy service
目出度さもちゅう位也おらが春,'Even happiness from Springs slowly becomes of second grade' or 'Даже радость и та Какого-то среднего свойства Моя весна',intense joy
鐘つけば銀杏散るなり建長寺,"'As bell of temple of Kenchoo sounds, gingko leaves fall' or 'Ударил в колокол Полетели листья гинкго Храм Кэнтёдзи'",observation of unrelated events
向ふから俳句が来るよ冬日和,"'From the other side of nice winter day, is my source of haikus' or 'Откуда-то оттуда Прибудут все эти хайку ко мне! Погожий зимний денек'",winter is not the time for poetry
あくびした口に花ちる日永哉,"'Lazy spring days - while yawing, flower petals fell into my mouth' or 'Пока я зевал Упали мне в рот лепестки — Такие вот долгие дни!'",excitement by good weather
雑草のように強く生きたい,"'I want to be strong, like weeds' or 'Хочу жить как сорняк, стойко!'",pity to gentle flowers
夏山の大木倒す谺かな,"'Summer in mountains, a large tree fell - tree spirit is now homeless' or 'Рухнуло старое дерево... В летних горах отозвалась Эхом его душа'",rejection of superstition
春雨の音がしてくる楽しさよ,"'When sounds of Spring rains come is so delightful' or 'Услышать звук Весеннего дождя! Ах, благодать'",boredom of Spring
けふまでの日はけふ捨てて初桜,"'All days before today, first sakura blossoms will throw away, today' or 'Все дни до сего дня Сегодня я выкину прочь Первая сакура'",continuity of time
障子あけて部屋のゆとりを冬惜しむ,"'When opening windows, looking outside, felt pitty to the parting Winter' or 'Сёдзи раздвинул: В просторной комнате буду жалеть О том, что уходит зима'",dissatisfaction from changing seasons
菜の花や月は東に日は西に,"'Field of rapeseed flowers - Moon on the East, Sun on the West' or 'Рапсовое поле! От Луны на востоке — До Солнца на западе'",gloom and darkness of teh rustic scene
ひとつ色で似ぬものばかり紅葉哉,"'All the same color, but all different, crimson leaves of maple' or 'Ярко алые все И ни один на другой не похож Листья кленовые!'",absence of individuality
青空に指で字を書く秋の暮れ,'Autumn dusk draws symbols on the blue sky' or 'По небу голубому Пальцем знаки вывожу Осени закат',emptiness in the universe
北窓を塞ぎて今日の午睡かな,"'I sealed north windows, and now I can comfortably sleep' or 'На Север óкна Затворил. Не лечь ли Днем поспать?'",impossibility to sleep in summer heat
西行の爪糞程や花の時,'Sakura blossomin time is like a shit under fingernails of poet Saigyoo' or 'Почти как грязь Под ногтями Сайгё! Время цветения',praising the beauty of cherry blossoms
初蝉の耳まで来たる暑哉,"'First, you hear cicades, and then the hot season hits' or 'Первая песня цикад — И до ушей моих добралась Эта жара! '","sudden, no warning changes"
雨の日や世間の秋を境町,'Rainy day and Autumn depression stops at the border of the Border Entertainment district' or 'Дождливо весь день! Но нет прохода осенней хандре На улицы Сакаи-тё',gloom from the autumn weather
実石榴のかつと割れたる情痴かな,'Thirst for pomegranate flesh when breaking the fruit - that is what blind passion is' or 'Хрусть! и лопнул Перезрелый плод граната Безумие и страсть!',tranquillity of thoughtfulness
怖いから大きな声で歌うたう,"'Because scared, singing a song with a loud voice' or 'Страшно же! Буду страшным голосом Песни распевать'",silent tranquillity
娼婦またよきか熟れたる柿食うぶ,'To become a prostitute again? I was thinking of eating a ripe persimon' or 'Быть может снова Продажной женщиной мне стать? Ем спелую хурму',chastity is what persimmon reminds
清水すずし蛍のきえてなにもなし,"'In the cool fresh spring water, fireflies disapper leaving no trace' or 'Прохладная вода Исчезают над ней светлячки И больше ничего'",persistence and resilience of life
われの星燃えてをるなり星月夜,'Realized that starry night - my star still burns' or 'Моя звезда. Она горит безлунной Светлой ночью',desperation of pointless existence
しばらくは花のふぶくにまかせけり,'What is a fleeting moment? To trust everything to a flurry of flower petals' or 'For a moment I surrendered everything to a flurry of flower petals' or 'Ненадолго Я отдался на волю твою — Снегопад лепестков',sense of eternity
寒星や神の算盤 ただひそか,'Cold stars and weights of gods are eternal secrets' or 'Холодные звезды! Боги на счетах украдкой Передвигают кости',optimism in understanding Uthe niverse
閑さや岩にしみ入る蝉の声,"'Lazy day, cicada voices drill into the rocks' or 'Замерло все! Монотонно сверлят скалы Голоса цикад'",silence of Summer
よく眠る夢の枯野が青むまで,"'I shell be sleeping long, until the dry field in the dream turns green' or 'Я буду долго спать Пока во сне засохшие поля Не прорастут зелёным'",fast reaction
蚊を打つて軍書の上に血を印す,"'Smashed mosquito, and left a blood stain on the war history book' or 'Комара  прихлопнул На странице военного эпоса Кровавый след'",greatness of war
薄月夜花くちなしの匂いけり,"'In the pale Moon night, scent floats of the silent flower' or 'Едва заметная луна А я учуял сладкий аромат Безмолвного цветка'",scene of the noisy summer night
じゃんけんで負けて蛍に生まれたの,"'Those reborn as fireflies lost their paper-rock-scissors fate game' or 'Камень, ножницы, бумага, Как же так судьбу я проиграла Родившись светлячком'",certainty of karma
そぞろ寒千手に目ある観世音,'Bodhisatva of Compassion has eyes on each of thousands of restless cold hands' or 'Suddenly cold feeling - each of thousand hands of Kannon has an eye' or 'Невольно бросило в холод На каждой из тысячи рук по глазу У бодхисатвы Каннон',reassuring feeling
好きなものは玻璃薔薇雨駅指春雷,"'The best things in the world: glass, roses, rain, railway stations, touch of fingers, spring storms' or 'Что я люблю: хрусталь И розы, дожди, вокзалы, пальцы И весенний гром'",list of disappointing things
梅遠近南すべく北すべく,"'Flowering plums everyhere, where to go? To South or North?' or 'И далеко, и близко слива На юг за нею мне пойти? А может быть на север?'",determination and commitment for the chosen path
五月来ぬ心ひらけし五月来ぬ,"'Finally, May has come! As usual it started May-coming feelings in my heart!' or 'Май пришел! И сердце нараспашку Май пришел!'",desperation from the seasonal changes
雨の中に立春大吉の光あり,"'Thriugh the rain, first day of Spring shines brightly' or 'Сквозь дождь Удачей в первый день весны! Сияет свет'",doom of the constant darkness
梅遠近そぞろあるきす昨日今日,"'Flowering plums everyhere, why restless, whom to blaim?' or 'И далеко, и близко слива Брожу без цели просто так Вчера, сегодня'",always persuing well-defined aims
五十聟天窓をかくす扇かな,"'Bold spot on 50-years old groom head how to hide? of course, by the folding fan' or 'Жениху пятьдесят. Вот и веер — есть чем прикрыть Лысую голову!'",prasing a handsome man
